Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
19-12-2024 09:00,BIOEN,17.16,17.77,17.12,17.7,12008875.0,0.07,0.54,0.05,1073.91,0.54,3400899.7,253.11,True,56.52,2024-12-19,3.15,0,,16.35,18.89,False,False
19-12-2024 09:00,YAPRK,555.0,605.0,552.0,597.5,252403.0,7.5,42.5,11.82,259.41,42.5,138460.0,82.29,True,76.69,2024-12-19,7.08,0,,445.75,ATH,False,False
19-12-2024 09:00,ODINE,114.0,121.7,109.9,121.7,10316611.0,0.0,7.7,0.41,1755.42,7.7,4703627.3,119.33,True,68.58,2024-12-19,9.94,0,,75.55,ATH,False,False
19-12-2024 09:00,OYLUM,8.99,9.54,8.97,9.51,8194780.0,0.03,0.52,0.1,447.37,0.52,4569593.4,79.33,True,76.6,2024-12-19,4.28,0,,8.1,ATH,False,False
19-12-2024 09:00,OYYAT,33.04,37.34,33.04,36.46,2833656.0,0.88,3.42,0.17,1935.71,3.42,790001.5,258.69,True,56.98,2024-12-19,7.36,0,,35.62,36.9,True,True
19-12-2024 09:00,DOKTA,25.76,28.3,25.76,28.3,2869330.0,0.0,2.54,0.31,719.35,2.54,863420.3,232.32,True,78.49,2024-12-19,9.95,0,,21.76,ATH,False,False
18-12-2024 09:00,ATSYH,44.1,45.72,44.1,45.72,103256.0,0.0,1.62,0.35,360.23,1.62,64726.4,59.53,True,55.41,2024-12-18,3.81,0,,42.38,53.0,False,False
18-12-2024 09:00,FMIZP,314.0,330.75,313.75,327.25,354047.0,3.5,13.25,0.78,1609.68,13.25,126038.7,180.9,True,65.71,2024-12-18,4.39,0,,296.25,333.0,False,False
18-12-2024 09:00,EUYO,10.82,12.38,10.82,12.38,1324427.0,0.0,1.56,0.28,463.18,1.56,633903.1,108.93,True,74.01,2024-12-18,9.95,0,,9.75,12.48,False,False
18-12-2024 09:00,ASELS,68.0,71.0,67.4,70.75,45206572.0,0.25,2.75,0.02,10900.0,2.75,26047571.8,73.55,True,60.8,2024-12-18,3.97,0,,64.9,71.8,False,False
17-12-2024 09:00,EKOS,26.16,27.46,25.36,27.2,9041160.0,0.26,1.04,0.12,738.71,1.04,4187882.0,115.89,True,62.04,2024-12-17,4.78,0,,24.38,30.06,False,False
17-12-2024 09:00,TATEN,42.0,43.5,41.38,43.5,8398208.0,0.0,1.5,0.31,390.2,1.5,3842054.3,118.59,True,71.31,2024-12-17,3.72,0,,29.9,ATH,False,False
17-12-2024 09:00,BRLSM,15.8,16.53,15.45,16.33,6688580.0,0.2,0.53,0.11,381.82,0.53,3778149.7,77.03,True,61.91,2024-12-17,3.35,0,,14.72,17.8,False,False
17-12-2024 09:00,CUSAN,23.36,25.76,22.84,25.54,6464687.0,0.22,2.18,0.43,404.63,2.18,1614891.3,300.32,True,81.41,2024-12-17,8.31,0,,18.8,ATH,False,False
17-12-2024 09:00,RYSAS,20.18,22.18,20.0,22.18,12243891.0,0.0,2.0,0.36,452.49,2.0,6585252.3,85.93,True,75.36,2024-12-17,9.91,0,,11.75,ATH,False,False
17-12-2024 09:00,ETYAT,11.09,12.1,11.0,11.9,704385.0,0.2,0.81,0.05,1520.0,0.81,286318.9,146.01,True,57.04,2024-12-17,6.73,0,,10.69,12.39,False,False
16-12-2024 09:00,KZGYO,23.64,24.56,23.56,24.3,3905538.0,0.26,0.66,0.02,4025.0,0.66,2504751.8,55.93,True,56.42,2024-12-16,2.97,0,,23.0,24.8,False,False
16-12-2024 09:00,DZGYO,11.8,12.89,11.8,12.89,37818561.0,0.0,1.09,0.16,564.63,1.09,14011890.2,169.9,True,71.49,2024-12-16,9.98,0,,9.68,ATH,False,False
16-12-2024 09:00,PRKAB,30.7,33.4,30.7,33.4,3071947.0,0.0,2.7,0.28,864.29,2.7,1226836.6,150.4,True,71.14,2024-12-16,9.94,0,,28.18,42.8,False,False
16-12-2024 09:00,CEOEM,30.06,33.02,30.06,33.02,8062924.0,0.0,2.96,0.1,2746.15,2.96,4719283.7,70.85,True,44.18,2024-12-16,9.99,0,,26.46,63.55,True,True
16-12-2024 09:00,PRDGS,5.84,6.07,5.82,6.02,5500535.0,0.05,0.18,0.01,1700.0,0.18,3494983.6,57.38,True,63.56,2024-12-16,3.08,0,,5.61,6.56,False,False
16-12-2024 09:00,BRKO,9.0,9.73,9.0,9.73,1439333.0,0.0,0.73,0.16,347.85,0.73,794028.6,81.27,True,68.77,2024-12-16,9.94,0,,7.52,10.4,False,False
16-12-2024 09:00,JANTS,26.28,28.74,26.28,28.74,11791637.0,0.0,2.46,0.13,1852.38,2.46,4856840.0,142.78,True,64.32,2024-12-16,9.95,0,,25.3,28.88,False,False
16-12-2024 09:00,KATMR,2.38,2.45,2.32,2.45,519623100.0,0.0,0.07,0.0,3400.0,0.07,123201592.0,321.77,True,71.29,2024-12-16,9.87,0,,1.97,ATH,False,False
